No,魚系,酸っぱい,マイルド,和風,洋風,少なめ,普通,慣行栽培,減農薬,白米,玄米,500kcal以下,500kcal～700kcal,400円～500円,500円～600円,満足度
1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1.40
2,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,4.20
3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70
4,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1.70
5,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,3.60
6,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1.10
7,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,3.60
8,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.84
9,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,5.60
10,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,5.90
11,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1.05
12,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,3.16
13,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,4.48
14,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,2.50
15,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1.84
16,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,4.08
17,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,6.60
18,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1.40
